short_name,categories,character,unicode
Alternative-A-small,questions,,e900
Alternative-A,questions,,e901
Alternative-B-small,questions,,e902
Alternative-B,questions,,e903
Alternative-C-small,questions,,e904
Alternative-C,questions,,e905
Alternative-D-small,questions,,e906
Alternative-D,questions,,e907
Alternative-E-small,questions,,e908
Alternative-E,questions,,e909
Apps,navigation,,e90a
Arrow-back-down,navigation,,e90b
Arrow-back-up,navigation,,e90c
Arrow-down,navigation,,e90d
Arrow-forward-down,navigation,,e90e
Arrow-forward-up,navigation,,e90f
Arrow-left,navigation,,e910
Arrow-right,navigation,,e911
Arrow-tip-collapse,arrow,,e912
Arrow-tip-down,arrow,,e913
Arrow-tip-left,arrow,,e914
Arrow-tip-right,arrow,,e915
Arrow-tip-sort,arrow,,e916
Arrow-tip-up,arrow,,e917
Arrow-top,arrow,,e918
Arrow-up,arrow,,e919
Assignment,general,,e91a
Badge-alt,general,,e91b
badge-check,general,,e91c
Badge,general,,e91d
Bell,general,,e91e
Book-open-alt,general,,e91f
Book-open,general,,e920
Book,general,,e921
Bookmark-empty,general,,e922
Bookmark,general,,e923
Bubble,general,,e924
Calendar,general,,e925
Camera,general,,e926
Cancel-circle-small,status,,e927
Cancel-circle,status,,e928
Cancel-small,status,,e929
Cancel,status,,e92a
chat-bubble,general,,e92b
Check-circle-small,status,,e92c
Check-circle,status,,e92d
Check-small,status,,e92e
Check,status,,e92f
Checkbox-checked,general,,e930
Checkbox-undefined,general,,e931
Chevron-collapse,general,,e932
Chevron-down,general,,e933
Chevron-left,general,,e934
Chevron-right,general,,e935
Chevron-small-down,general,,e936
Chevron-small-left,general,,e937
Chevron-small-right,general,,e938
Chevron-small-up,general,,e939
Chevron-sort,general,,e93a
Chevron-up,general,,e93b
Clip,general,,e93c
Clock,general,,e93d
Compose,general,,e93e
Contracting-arrow,general,,e93f
Copy,general,,e940
Document,general,,e941
Download,general,,e942
Elipsis,general,,e943
Email,general,,e944
Exam-alt,general,,e945
Exam,general,,e946
Exclamation-circle-small,status,,e947
Exclamation-circle,status,,e948
Exclamation-small,status,,e000
Exclamation,status,,e94a
Expanding-arrow,general,,e94b
External-link-small,general,,e94c
External-link,general,,e94d
Eye-closed,general,,e94e
Eye,general,,e94f
Filter-alt-2,general,,e950
Filter-alt,general,,e951
Filter,general,,e952
Folder-opened,general,,e953
Folder,general,,e954
Graph-pizza,general,,e955
Headset,general,,e956
Heart-broken,general,,e957
Heart-empty,general,,e958
Heart,general,,e959
Home,general,,e95a
Info-circle-small,status,,e95b
Info-circle,status,,e95c
Info-small,status,,e95d
Info,status,,e95e
Lesson,general,,e95f
Lock,general,,e000
Mic,general,,e000
Minus-circle-small,general,,e000
Minus-circle,general,,e000
Minus-small,general,,e000
Minus,general,,e000
Password,general,,e000
Phone,general,,e000
Plus-circle-small,general,,e000
Plus-circle,general,,e000
Plus-small,general,,e000
Plus,general,,e000
Printer,general,,e000
Question-circle-small,general,,e000
Question-circle,general,,e000
Quotes-left,general,,e000
Quotes-right,general,,e000
Reload,general,,e000
Scan,general,,e000
Search-alt,general,,e000
Search,general,,e000
Send-alt,general,,e000
Send,general,,e000
Settings,general,,e000
Spinner-placeholder,general,,e000
Star-empty,general,,e000
Star-incomplete,general,,e000
Star,general,,e000
Stop-timer,general,,e000
Thumbs-down,general,,e000
Thumbs-up,general,,e000
Trashcan,general,,e000
Unlock,general,,e000
Upload,general,,e000
User-female,general,,e000
User-male,general,,e000
Video-lesson-alt,general,,e000
Video-lesson,general,,e000
Video,general,,e000
Webcam,general,,e000
Zoom-in-alt,general,,e000
Zoom-in,general,,e000
Zoom-out-alt,general,,e000
Zoom-out,general,,e000
